Region,Sold to Party Code,Area,Kalender,Channel,Produk,Year,Bln,MT
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,1,6270.2
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,2,4193.806
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,3,5455.066
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,4,5499.015
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,5,3640.486
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,6,4641.193
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,7,4847.977
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,8,4675.683
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,9,5267.174
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,10,4146.987
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,11,4252.452
ICBP,102888,Pt. Icbp - Noodle Ancol,KI,Industry,25 kg,2022,12,4630.335
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,1,9155.091
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,2,5350.605
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,3,6799.17
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,4,6896.396
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,5,4885.845
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,6,5827.519
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,7,5960.408
ICBP,102900,Pt. Icbp - Noodle Bandung,KI,Industry,25 kg,2022,8,5976.031
